t (s),acceleration (m/s^2),veh_id,position_x (m),position_y (m),vitesse (m/s)
0.4,0.0,f_0.0,-94.9,-1.6,0.0
0.5,2.515065283088479,f_0.0,-94.87484934716912,-1.6,0.25150652830884795
0.6,2.4635040927005702,f_0.0,-94.82506365341122,-1.6,0.497856937578905
0.7,2.4512617972926067,f_0.0,-94.7507653416804,-1.6,0.7429831173081657
0.8,2.207756151969643,f_0.0,-94.6543894684299,-1.6,0.96375873250513
0.9,2.1259164062463287,f_0.0,-94.53675443111692,-1.6,1.1763503731297629
1.0,2.3169629787041335,f_0.0,-94.3959497640169,-1.6,1.4080466710001762
1.1,2.0486486996800513,f_0.0,-94.23465860992009,-1.6,1.6129115409681813
1.2,2.2298728599638107,f_0.0,-94.05106872722362,-1.6,1.8358988269645624
1.3,2.2483944864446226,f_0.0,-93.84499489966272,-1.6,2.0607382756090247
1.4,2.035170042259433,f_0.0,-93.61856937167923,-1.6,2.264255279834968
1.5,1.943512156567202,f_0.0,-93.37270872213006,-1.6,2.458606495491688
1.6,1.982166148861868,f_0.0,-93.10702641109228,-1.6,2.656823110377875
1.7,1.405720973783171,f_0.0,-92.82728689031666,-1.6,2.797395207756192
1.8,1.328768493537793,f_0.0,-92.53425968460566,-1.6,2.9302720571099714
1.9,1.8717800001148133,f_0.0,-92.2225146788935,-1.6,3.1174500571214527
2.0,1.327252352680084,f_0.0,-91.89749714965457,-1.6,3.250175292389461
2.1,1.8987459438154497,f_0.0,-91.55349216097747,-1.6,3.440049886771006
2.2,2.127977335196918,f_0.0,-91.18820739894839,-1.6,3.652847620290698
2.3,1.68315698343795,f_0.0,-90.80609106708495,-1.6,3.821163318634493
2.4,2.480055421474394,f_0.0,-90.39917418100676,-1.6,4.069168860781932
2.5,2.0575385592412143,f_0.0,-89.97168190933614,-1.6,4.274922716706054
2.6,1.7612182425800693,f_0.0,-89.52657745523975,-1.6,4.451044540964061
2.7,1.3512623962247705,f_0.0,-89.0679603771811,-1.6,4.586170780586538
2.8,2.520725870365279,f_0.0,-88.58413604041878,-1.6,4.838243367623066
2.9,1.661282314662822,f_0.0,-88.08369888050984,-1.6,5.004371599089348
3.0,2.5965583271579806,f_0.0,-87.55729613732933,-1.6,5.264027431805146
3.1,2.031978080910628,f_0.0,-87.01057361333972,-1.6,5.467225239896209
3.1,0.0,f_0.1,-94.9,-1.6,0.0
3.2,2.535102973133325,f_0.0,-86.43850005961875,-1.6,5.720735537209541
3.2,2.5597812361735848,f_0.1,-94.87440218763827,-1.6,0.2559781236173585
3.3,1.5972189095336908,f_0.0,-85.85045431680246,-1.6,5.88045742816291
3.3,2.5294713408661695,f_0.1,-94.82350966186787,-1.6,0.5089252577039755
3.4,1.369027471891604,f_0.0,-85.24871829926725,-1.6,6.017360175352071
3.4,2.5451045573698603,f_0.1,-94.74716609052378,-1.6,0.7634357134409615
3.5,1.841815382754426,f_0.0,-84.62856412790451,-1.6,6.201541713627513
3.5,2.5650629371825118,f_0.1,-94.64517188980786,-1.6,1.0199420071592127
3.6,1.715993281803092,f_0.0,-83.99125002372372,-1.6,6.3731410418078225
3.6,2.566007338005356,f_0.1,-94.51751761571188,-1.6,1.2765427409597483
3.7,1.851148441666739,f_0.0,-83.33542443512627,-1.6,6.558255885974496
3.7,2.310632247043136,f_0.1,-94.36675701914547,-1.6,1.507605965664062
3.8,1.3232065215008326,f_0.0,-82.66636678131381,-1.6,6.69057653812458
3.8,2.3102217751324594,f_0.1,-94.19289420482774,-1.6,1.7386281431773078
3.9,2.2700777042657094,f_0.0,-81.97460835045871,-1.6,6.917584308551151
3.9,2.308525313651366,f_0.1,-93.9959461373735,-1.6,1.9694806745424445
4.0,2.0167086446890625,f_0.0,-81.2626828331567,-1.6,7.119255173020057
4.0,2.244792835136935,f_0.1,-93.77655014156788,-1.6,2.193959958056138
4.1,2.176460892311294,f_0.0,-80.52899270693158,-1.6,7.336901262251186
4.1,2.1487620856047807,f_0.1,-93.53566652490622,-1.6,2.408836166616616
4.2,1.4340469067217754,f_0.0,-79.78096211163924,-1.6,7.480305952923364
4.2,1.6422827287111463,f_0.1,-93.27836008095744,-1.6,2.5730644394877307
4.3,1.7625471366103707,f_0.0,-79.0153060449808,-1.6,7.656560666584401
4.3,1.7581593156559405,f_0.1,-93.00347204385211,-1.6,2.7488803710533247
4.4,2.488438911689439,f_0.0,-78.22476558920546,-1.6,7.905404557753345
4.4,1.396163587039334,f_0.1,-92.71462237087638,-1.6,2.888496729757258
4.5,2.5687365919351635,f_0.0,-77.40853776751078,-1.6,8.162278216946861
4.5,1.6728185301646548,f_0.1,-92.40904451259901,-1.6,3.0557785827737236
4.6,2.114313948457127,f_0.0,-76.57116680633152,-1.6,8.373709611792574
4.6,1.3938634130870886,f_0.1,-92.08952802019077,-1.6,3.1951649240824325
4.7,2.4783284765202573,f_0.0,-75.70901256038707,-1.6,8.6215424594446
4.7,2.406828474788929,f_0.1,-91.74594324303465,-1.6,3.4358477715613254
4.8,1.6072156082140232,f_0.0,-74.83078615836047,-1.6,8.782264020266002
4.8,1.474555927678014,f_0.1,-91.38761290660173,-1.6,3.5833033643291268
4.9,1.5772858510958088,f_0.0,-73.9367868978229,-1.6,8.939992605375583
4.9,1.7104686677223047,f_0.1,-91.01217788349159,-1.6,3.7543502311013572
5.0,1.5008646429749106,f_0.0,-73.0277789908556,-1.6,9.090079069673074
5.0,2.482954842178149,f_0.1,-90.61191331195967,-1.6,4.002645715319172
5.1,1.8686736765550371,f_0.0,-72.10008434712273,-1.6,9.276946437328577
5.1,1.5345283829607048,f_0.1,-90.19630345659814,-1.6,4.156098553615243
5.2,1.959331050631583,f_0.0,-71.15279639288357,-1.6,9.472879542391736
5.2,1.4932787283556515,f_0.1,-89.76576081395307,-1.6,4.305426426450808
5.3,1.7408094132086305,f_0.0,-70.1881003445123,-1.6,9.646960483712599
5.3,1.4476417670492037,f_0.1,-89.32074175363749,-1.6,4.450190603155728
5.4,1.3123372398316846,f_0.0,-69.21028092374273,-1.6,9.778194207695767
5.4,2.1189791197888574,f_0.1,-88.85453290212403,-1.6,4.662088515134614
5.5,1.9459959643660163,f_0.0,-68.21300154332948,-1.6,9.972793804132369
5.5,2.4850771620636802,f_0.1,-88.36347327898994,-1.6,4.910596231340982
5.6,2.150958071462803,f_0.0,-67.19421258220163,-1.6,10.18788961127865
5.6,1.7143486067419822,f_0.1,-87.85527016978841,-1.6,5.08203109201518
5.7,1.9993320837151174,f_0.0,-66.15543030023662,-1.6,10.387822819650161
5.7,2.014667549543079,f_0.1,-87.32692038509147,-1.6,5.283497846969488
5.8,1.494124456378625,f_0.0,-65.10170677370782,-1.6,10.537235265288023
5.8,2.3654299083631436,f_0.1,-86.7749163013109,-1.6,5.520040837805802
5.9,1.8579542274586913,f_0.0,-64.02940370490444,-1.6,10.723030688033893
5.9,1.7176108803367196,f_0.1,-86.20573610872694,-1.6,5.691801925839474
6.0,2.2875181182753224,f_0.0,-62.93422545491829,-1.6,10.951782499861425
6.0,2.3516765739535916,f_0.1,-85.61303915040347,-1.6,5.9269695832348335
6.1,1.7368955050362267,f_0.0,-61.821678249881785,-1.6,11.125472050365047
6.1,1.5888972804183155,f_0.1,-85.00445321927579,-1.6,6.085859311276665
6.2,1.435483659501191,f_0.0,-60.69477620825027,-1.6,11.269020416315167
6.2,1.4677273618988629,f_0.1,-84.38119001452914,-1.6,6.232632047466551
6.3,1.906332440185352,f_0.0,-59.548810842216895,-1.6,11.459653660333702
6.3,1.375796258705666,f_0.1,-83.74416884719543,-1.6,6.370211673337118
6.4,1.334828880894925,f_0.0,-58.38949718737457,-1.6,11.593136548423194
6.4,1.4147036474896613,f_0.1,-83.09300064338682,-1.6,6.511682038086084
6.5,1.4865222276188383,f_0.0,-57.215318310256066,-1.6,11.741788771185078
6.5,2.186178298317829,f_0.1,-82.41997065659503,-1.6,6.730299867917867
6.6,1.541519627650274,f_0.0,-56.02572423686105,-1.6,11.895940733950106
6.6,2.0968946769367847,f_0.1,-81.72597172303388,-1.6,6.939989335611545
6.7,1.9292410802328952,f_0.0,-54.816837752663716,-1.6,12.088864841973395
6.7,1.3260921726934605,f_0.1,-81.0187118677458,-1.6,7.0725985528808915
6.8,2.5175982886925397,f_0.0,-53.58277528557945,-1.6,12.340624670842649
6.8,1.600811713444994,f_0.1,-80.29544389532325,-1.6,7.232679724225391
6.9,1.7385199050884736,f_0.0,-52.3313276194443,-1.6,12.514476661351496
6.9,1.8258206139551447,f_0.1,-79.55391771676116,-1.6,7.415261785620905
7.0,1.5093071875395303,f_0.0,-51.06478688143376,-1.6,12.66540738010545
7.0,2.490207350114355,f_0.1,-78.78748946469793,-1.6,7.664282520632341
7.1,2.2539335538865934,f_0.0,-49.77570680788433,-1.6,12.890800735494109
7.1,2.500687023508359,f_0.1,-77.9960543423996,-1.6,7.914351222983177
7.2,2.18437706422991,f_0.0,-48.46478296369263,-1.6,13.1092384419171
7.2,2.1769427649676842,f_0.1,-77.1828497924516,-1.6,8.132045499479945
7.2,0.0,f_0.2,-94.9,-1.6,0.0
7.3,2.4537258197553413,f_0.0,-47.12932186130337,-1.6,13.354611023892634
7.3,2.415356158954083,f_0.1,-76.34549168091408,-1.6,8.373581115375353
7.3,2.584731529054698,f_0.2,-94.87415268470946,-1.6,0.2584731529054698
7.4,1.6405902241822368,f_0.0,-45.77745485667228,-1.6,13.518670046310858
7.4,1.667595306807197,f_0.1,-75.49145761630847,-1.6,8.540340646056073
7.4,2.5527628476581365,f_0.2,-94.82277774094233,-1.6,0.5137494376712834
7.5,1.6561472631525298,f_0.0,-44.40902637940967,-1.6,13.68428477262611
7.5,2.518026208062647,f_0.1,-74.61224328962223,-1.6,8.792143266862338
7.5,2.3926027601400612,f_0.2,-94.7474767695738,-1.6,0.7530097136852896
7.6,2.448787579755294,f_0.0,-43.0161100263495,-1.6,13.92916353060164
7.6,1.6358461578376549,f_0.1,-73.71667050135761,-1.6,8.955727882646103
7.6,2.5976373330862335,f_0.2,-94.64619942487441,-1.6,1.012773446993913
7.7,1.7250589136965466,f_0.0,-41.60594308415237,-1.6,14.101669421971295
7.7,2.186101938853966,f_0.1,-72.79923669370447,-1.6,9.1743380765315
7.7,2.2849362713754973,f_0.2,-94.52207271746126,-1.6,1.2412670741314626
7.8,1.6758424470201128,f_0.0,-40.17901771748504,-1.6,14.269253666673306
7.8,2.2490825701272144,f_0.1,-71.85931206035005,-1.6,9.399246333544221
7.8,2.359550151181513,f_0.2,-94.3743505085363,-1.6,1.477222089249614
7.9,1.4197503279894619,f_0.0,-38.73789484753782,-1.6,14.411228699472252
7.9,1.8533757472643586,f_0.1,-70.90085366952297,-1.6,9.584583908270657
7.9,2.4747091835545154,f_0.2,-94.20188120777578,-1.6,1.7246930076050655
8.0,2.298752263840278,f_0.0,-37.27378445495219,-1.6,14.64110392585628
8.0,1.3533840166171984,f_0.1,-69.92886143852975,-1.6,9.719922309932377
8.0,1.7795859543190473,f_0.2,-94.01161604747209,-1.6,1.9026516030369702
8.1,0.12826568194775234,f_0.0,-35.808391405547084,-1.6,14.653930494051055
8.1,2.532358480314727,f_0.1,-68.93154562273335,-1.6,9.97315815796385
8.1,2.504805563855803,f_0.2,-93.79630283152984,-1.6,2.1531321594225505
8.2,-0.24278589480090318,f_0.0,-34.34542621508999,-1.6,14.629651904570965
8.2,1.7253788983449247,f_0.1,-67.91697601795353,-1.6,10.145696047798342
8.2,2.5841879474278295,f_0.2,-93.5551477361133,-1.6,2.4115509541653335
8.3,0.27129756691865126,f_0.0,-32.879748048963705,-1.6,14.65678166126283
8.3,1.9337961021345151,f_0.1,-66.88306845215234,-1.6,10.339075658011794
8.3,2.12205218095332,f_0.2,-93.29277211888724,-1.6,2.6237561722606655
8.4,0.6408846114762135,f_0.0,-31.407661036722658,-1.6,14.720870122410451
8.4,2.464961937884791,f_0.1,-65.82451126697232,-1.6,10.585571851800273
8.4,2.3800242750206957,f_0.2,-93.00659625891096,-1.6,2.861758599762735
8.5,-0.18622549967838964,f_0.0,-29.93743627947839,-1.6,14.702247572442612
8.5,1.4719629760598707,f_0.1,-64.7512344520317,-1.6,10.73276814940626
8.5,2.351942526013593,f_0.2,-92.69690097367456,-1.6,3.0969528523640943
8.6,0.0609608217840929,f_0.0,-28.466601914016294,-1.6,14.708343654621022
8.6,2.516169792716383,f_0.1,-63.65279593916391,-1.6,10.984385128677898
8.6,2.489293704670854,f_0.2,-92.36231275139144,-1.6,3.3458822228311798
8.7,-4.499999999999993,f_0.0,-27.040767548554186,-1.6,14.258343654621022
8.7,2.572916489699857,f_0.1,-62.52862826139912,-1.6,11.241676777647884
8.7,2.1322761210612917,f_0.2,-92.0064017678977,-1.6,3.559109834937309
8.8,-4.499999999999993,f_0.0,-25.65993318309208,-1.6,13.808343654621023
8.8,1.8243058042833482,f_0.1,-61.3862175255915,-1.6,11.424107358076219
8.8,2.086836126842533,f_0.2,-91.62962242313554,-1.6,3.767793447621562
8.9,-4.499999999999993,f_0.0,-24.324098817629974,-1.6,13.358343654621024
