t,a,veh_id,pos_x,pos_y,v,Df,Veh(f),Trv,Tvr
0.4000,0.0000,f_0.0,-94.9000,-1.6000,0.0000,90.7000,1,0.5000,8.7000
0.5000,2.5151,f_0.0,-94.8748,-1.6000,0.2515,90.6748,1,0.5000,8.7000
0.6000,2.4635,f_0.0,-94.8251,-1.6000,0.4979,90.6251,1,0.5000,8.7000
0.7000,2.4513,f_0.0,-94.7508,-1.6000,0.7430,90.5508,1,0.5000,8.7000
0.8000,2.2078,f_0.0,-94.6544,-1.6000,0.9638,90.4544,1,0.5000,8.7000
0.9000,2.1259,f_0.0,-94.5368,-1.6000,1.1764,90.3368,1,0.5000,8.7000
1.0000,2.3170,f_0.0,-94.3959,-1.6000,1.4080,90.1959,1,0.5000,8.7000
1.1000,2.0486,f_0.0,-94.2347,-1.6000,1.6129,90.0347,1,0.5000,8.7000
1.2000,2.2299,f_0.0,-94.0511,-1.6000,1.8359,89.8511,1,0.5000,8.7000
1.3000,2.2484,f_0.0,-93.8450,-1.6000,2.0607,89.6450,1,0.5000,8.7000
1.4000,2.0352,f_0.0,-93.6186,-1.6000,2.2643,89.4186,1,0.5000,8.7000
1.5000,1.9435,f_0.0,-93.3727,-1.6000,2.4586,89.1727,1,0.5000,8.7000
1.6000,1.9822,f_0.0,-93.1070,-1.6000,2.6568,88.9070,1,0.5000,8.7000
1.7000,1.4057,f_0.0,-92.8273,-1.6000,2.7974,88.6273,1,0.5000,8.7000
1.8000,1.3288,f_0.0,-92.5343,-1.6000,2.9303,88.3343,1,0.5000,8.7000
1.9000,1.8718,f_0.0,-92.2225,-1.6000,3.1175,88.0225,1,0.5000,8.7000
2.0000,1.3273,f_0.0,-91.8975,-1.6000,3.2502,87.6975,1,0.5000,8.7000
2.1000,1.8987,f_0.0,-91.5535,-1.6000,3.4400,87.3535,1,0.5000,8.7000
2.2000,2.1280,f_0.0,-91.1882,-1.6000,3.6528,86.9882,1,0.5000,8.7000
2.3000,1.6832,f_0.0,-90.8061,-1.6000,3.8212,86.6061,1,0.5000,8.7000
2.4000,2.4801,f_0.0,-90.3992,-1.6000,4.0692,86.1992,1,0.5000,8.7000
2.5000,2.0575,f_0.0,-89.9717,-1.6000,4.2749,85.7717,1,0.5000,8.7000
2.6000,1.7612,f_0.0,-89.5266,-1.6000,4.4510,85.3266,1,0.5000,8.7000
2.7000,1.3513,f_0.0,-89.0680,-1.6000,4.5862,84.8680,1,0.5000,8.7000
2.8000,2.5207,f_0.0,-88.5841,-1.6000,4.8382,84.3841,1,0.5000,8.7000
2.9000,1.6613,f_0.0,-88.0837,-1.6000,5.0044,83.8837,1,0.5000,8.7000
3.0000,2.5966,f_0.0,-87.5573,-1.6000,5.2640,83.3573,1,0.5000,8.7000
3.1000,2.0320,f_0.0,-87.0106,-1.6000,5.4672,82.8106,1,0.5000,8.7000
3.1000,0.0000,f_0.1,-94.9000,-1.6000,0.0000,90.7000,0,,
3.2000,2.5351,f_0.0,-86.4385,-1.6000,5.7207,82.2385,1,0.5000,8.7000
